Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A856159,*Lola,5/3/2022 11:32,May-22,4/29/2020,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Chocolate
A845535,Tiva,5/3/2022 11:50,May-22,5/1/2018,Adoption,Foster,Dog,Spayed Female,4 years,Plott Hound Mix,Brown Brindle
A856156,A856156,5/3/2022 12:35,May-22,11/29/2021,Transfer,Partner,Dog,Intact Male,5 months,Chihuahua Shorthair/Dachshund,Brown
A856258,Coco,5/3/2022 12:39,May-22,10/3/2017,Return to Owner,,Dog,Intact Male,4 years,Pit Bull,Black/White
A850020,Shady,5/3/2022 14:44,May-22,1/17/2021,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White
A854107,Oso,5/3/2022 15:11,May-22,3/30/2020,Adoption,,Dog,Neutered Male,2 years,Chow Chow Mix,Black
A854300,*Ziti,5/3/2022 15:31,May-22,3/1/2022,Adoption,Foster,Dog,Spayed Female,2 months,Pit Bull Mix,Fawn/White
A854297,*Orzo,5/3/2022 15:32,May-22,3/1/2022,Adoption,Foster,Dog,Neutered Male,2 months,Pit Bull Mix,White
A838236,Duke,5/3/2022 15:35,May-22,7/6/2013,Adoption,Foster,Dog,Neutered Male,8 years,Labrador Retriever Mix,Black/White
A843249,*Goobs,5/3/2022 16:03,May-22,9/28/2019,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull,Black/White
A849198,Bruno,5/3/2022 16:11,May-22,1/3/2021,Adoption,,Dog,Neutered Male,1 year,American Pit Bull Terrier,White/Black
A822466,*Chichi,5/3/2022 16:17,May-22,9/3/2019,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
A856366,Chapo,5/3/2022 16:19,May-22,2/15/2022,Return to Owner,,Dog,Intact Male,2 months,Catahoula Mix,Brown/White
A855921,Arya,5/3/2022 16:20,May-22,10/26/2020,Adoption,,Dog,Spayed Female,1 year,Siberian Husky Mix,Brown/White
A855961,*Toast,5/3/2022 16:38,May-22,4/26/2019,Transfer,Partner,Dog,Intact Male,3 years,Siberian Husky,White
A855591,*Valor,5/3/2022 16:45,May-22,4/20/2021,Adoption,,Dog,Neutered Male,1 year,Border Collie Mix,White/Brown
A856376,Buddy,5/3/2022 16:48,May-22,2/2/2022,Adoption,,Dog,Neutered Male,2 months,Beagle Mix,Chocolate/White
A856463,Buddy,5/3/2022 17:23,May-22,5/3/2019,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull,Black
A856185,Kenobi,5/3/2022 17:26,May-22,4/29/2020,Adoption,,Dog,Neutered Male,2 years,Chihuahua Longhair Mix,White/Brown
A856027,Coco,5/3/2022 17:39,May-22,12/27/2021,Adoption,,Dog,Spayed Female,4 months,German Shepherd Mix,Tricolor
A775843,Ghost,5/3/2022 18:05,May-22,7/5/2016,Adoption,,Dog,Neutered Male,5 years,German Shepherd Mix,White/Tan
A856142,Bella,5/3/2022 18:28,May-22,4/28/2020,Return to Owner,,Dog,Intact Female,2 years,Bulldog,Brown/White
A856455,A856455,5/3/2022 19:10,May-22,2/16/2022,Transfer,Partner,Dog,Intact Female,2 months,Pug,Fawn
A856036,*Francis,5/4/2022 11:41,May-22,12/12/2021,Adoption,,Dog,Spayed Female,4 months,Siberian Husky,Black/White
A855769,*Peter,5/4/2022 11:49,May-22,4/22/2015,Adoption,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Chocolate/Tan
A856495,Marty,5/4/2022 14:24,May-22,5/4/2013,Return to Owner,,Dog,Neutered Male,9 years,Dachshund Longhair,White/Black
A844867,Rage,5/4/2022 17:52,May-22,10/21/2020,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White
A856476,Max,5/5/2022 11:23,May-22,5/3/2018,Euthanasia,Medical,Dog,Intact Male,4 years,Black Mouth Cur Mix,Brown/White
A856547,Mo,5/5/2022 13:12,May-22,5/4/2020,Return to Owner,,Dog,Intact Male,2 years,Pit Bull,Tricolor
A856037,Gina,5/5/2022 16:20,May-22,4/27/2020,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Brown
A856625,,5/5/2022 17:03,May-22,5/5/2020,Return to Owner,,Dog,Unknown,2 years,Shetland Sheepdog Mix,Black/Brown
A856540,Bailey,5/5/2022 17:33,May-22,5/4/2020,Return to Owner,,Dog,Spayed Female,2 years,Bloodhound Mix,Brown
A855942,Darla,5/5/2022 18:37,May-22,6/26/2021,Rto-Adopt,,Dog,Spayed Female,10 months,American Pit Bull Terrier,Tan
A856378,Celecita,5/5/2022 18:46,May-22,2/24/2022,Adoption,,Dog,Spayed Female,2 months,Beagle Mix,White/Brown
A855705,Peppa,5/5/2022 18:57,May-22,4/22/2017,Adoption,,Dog,Spayed Female,5 years,Labrador Retriever,Tan/White
A855589,*Billy The Kid,5/5/2022 18:58,May-22,4/20/2021,Adoption,,Dog,Neutered Male,1 year,German Shepherd,Black
A855767,*Edmund,5/6/2022 9:48,May-22,4/22/2020,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan
A852968,Loba,5/6/2022 10:56,May-22,3/23/2014,Adoption,Foster,Dog,Spayed Female,8 years,German Shepherd,Black/Brown
A856536,Gizmo,5/6/2022 11:18,May-22,1/4/2022,Transfer,Partner,Dog,Intact Male,4 months,Chihuahua Shorthair Mix,Brown/Black
A811249,Tootie,5/6/2022 12:25,May-22,12/2/2019,Transfer,Out State,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
A851765,*Darla,5/6/2022 12:25,May-22,2/18/2018,Transfer,Out State,Dog,Spayed Female,4 years,Treeing Tennesse Brindle Mix,Black/Brown
A856188,*Sarah,5/6/2022 12:25,May-22,4/29/2021,Transfer,Out State,Dog,Intact Female,1 year,German Shepherd Mix,White
A856044,*Hoggle,5/6/2022 12:27,May-22,4/27/2020,Transfer,Out State,Dog,Neutered Male,2 years,Chihuahua Shorthair/Dachshund,Brown/White
A843333,*Bravo,5/6/2022 12:27,May-22,9/29/2019,Transfer,Out State,Dog,Neutered Male,2 years,Boxer Mix,Red/White
A856332,*A856332,5/6/2022 12:28,May-22,3/2/2022,Transfer,Out State,Dog,Intact Female,2 months,Australian Shepherd Mix,Black/Brown
A856342,*A856342,5/6/2022 12:29,May-22,3/2/2022,Transfer,Out State,Dog,Intact Female,2 months,Australian Shepherd,Red/White
A856277,*Dezzy,5/6/2022 12:30,May-22,9/1/2021,Transfer,Out State,Dog,Intact Female,8 months,Border Collie,Black/White
A855906,Jade,5/6/2022 12:30,May-22,4/25/2012,Transfer,Out State,Dog,Spayed Female,10 years,German Shepherd,White
A856392,*Moonbeam,5/6/2022 12:31,May-22,2/2/2022,Transfer,Out State,Dog,Intact Male,3 months,Great Pyrenees Mix,White
A856361,Coco,5/6/2022 12:32,May-22,11/2/2021,Transfer,Out State,Dog,Intact Female,6 months,Plott Hound,Brown Brindle
A856134,Chloe,5/6/2022 14:01,May-22,2/14/2022,Return to Owner,,Dog,Intact Female,2 months,Australian Cattle Dog Mix,Blue Tick/White
A846554,Bandito,5/6/2022 14:02,May-22,9/10/2021,Adoption,,Dog,Neutered Male,7 months,Harrier Mix,White/Black
A856556,Red,5/6/2022 14:46,May-22,5/4/2014,Return to Owner,,Dog,Neutered Male,8 years,Labrador Retriever Mix,Red
A835939,*Dino,5/6/2022 15:44,May-22,8/3/2020,Adoption,,Dog,Neutered Male,1 year,Miniature Schnauzer Mix,Gray/Cream
A856333,,5/6/2022 16:11,May-22,3/2/2022,Adoption,,Dog,Spayed Female,2 months,Australian Shepherd Mix,Red
A856339,,5/6/2022 16:24,May-22,3/2/2022,Adoption,,Dog,Neutered Male,2 months,Australian Shepherd,White/Red
A856336,Daisy,5/6/2022 16:50,May-22,3/2/2022,Adoption,,Dog,Spayed Female,2 months,Australian Shepherd Mix,Black/White
A761042,Prince,5/6/2022 16:56,May-22,10/28/2015,Return to Owner,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White
A856349,,5/6/2022 18:00,May-22,3/2/2022,Adoption,,Dog,Neutered Male,2 months,Australian Shepherd,White/Red
A855773,Kaior,5/6/2022 19:16,May-22,4/22/2021,Adoption,,Dog,Spayed Female,1 year,Australian Kelpie Mix,Tan/White
A856377,Princessa,5/6/2022 19:31,May-22,2/24/2022,Adoption,,Dog,Spayed Female,2 months,Beagle Mix,White/Brown
A856488,Diego,5/7/2022 9:27,May-22,5/4/2015,Transfer,Partner,Dog,Intact Male,7 years,Cocker Spaniel,Buff
A855985,*Boris,5/7/2022 12:21,May-22,4/26/2020,Adoption,,Dog,Neutered Male,2 years,Siberian Husky Mix,White
A856351,Daisy,5/7/2022 13:10,May-22,2/16/2022,Adoption,,Dog,Spayed Female,2 months,Anatol Shepherd,Tan
A855504,Mikhail,5/7/2022 13:45,May-22,4/19/2021,Adoption,,Dog,Neutered Male,1 year,Siberian Husky,Black/White
A856675,Rex,5/7/2022 14:15,May-22,5/6/2020,Return to Owner,,Dog,Intact Male,2 years,Dachshund Longhair,Tan
A829508,*Diamond Dave,5/7/2022 14:49,May-22,2/12/2019,Adoption,,Dog,Neutered Male,3 years,Pit Bull Mix,White/Black
A548919,Chico,5/7/2022 15:00,May-22,7/7/2007,Return to Owner,,Dog,Neutered Male,14 years,Chihuahua Shorthair Mix,Black/Brown
A855543,Pepper,5/7/2022 15:07,May-22,4/19/2020,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A856136,Snow,5/7/2022 15:30,May-22,6/29/2021,Adoption,,Dog,Spayed Female,10 months,Siberian Husky Mix,Black/White
A856666,Tobi,5/7/2022 15:53,May-22,10/6/2021,Return to Owner,,Dog,Intact Male,7 months,Chihuahua Shorthair Mix,Brown/Tan
A841854,*Phish,5/7/2022 17:17,May-22,9/4/2020,Adoption,,Dog,Neutered Male,1 year,American Bulldog,White/Chocolate
A856379,Borolita,5/7/2022 17:39,May-22,2/24/2022,Adoption,,Dog,Spayed Female,2 months,Beagle Mix,White/Black
A856730,Sarah Jessica Barker,5/7/2022 17:54,May-22,9/7/2021,Adoption,,Dog,Spayed Female,7 months,Pit Bull,Brown Brindle
A849583,Roxy,5/7/2022 18:51,May-22,11/15/2021,Adoption,Foster,Dog,Spayed Female,5 months,Dutch Shepherd Mix,Brown Brindle/White
A783773,Ghost,5/7/2022 19:00,May-22,11/15/2016,Adoption,,Dog,Neutered Male,5 years,German Shepherd Mix,Tan/Black
A856733,Oliver,5/7/2022 19:06,May-22,1/6/2018,Return to Owner,,Dog,Neutered Male,4 years,Vizsla Mix,Red/White
A855904,*Julissa,5/9/2022 9:18,May-22,6/25/2021,Transfer,Out State,Dog,Spayed Female,10 months,Labrador Retriever Mix,Red
A855903,*Bianca,5/9/2022 9:19,May-22,10/25/2020,Transfer,Out State,Dog,Spayed Female,1 year,Standard Schnauzer Mix,Brown
A852005,*Chente,5/9/2022 9:19,May-22,6/23/2021,Transfer,Out State,Dog,Neutered Male,10 months,Pit Bull Mix,Brown Brindle/White
A840114,Stella,5/9/2022 9:20,May-22,8/2/2020,Transfer,Out State,Dog,Spayed Female,1 year,Chow Chow/Doberman Pinsch,Tan/Black
A810426,Pepsi,5/9/2022 9:20,May-22,10/13/2019,Transfer,Out State,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
A850991,Diamante,5/9/2022 9:20,May-22,8/3/2020,Transfer,Out State,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A856486,Boomer,5/9/2022 9:21,May-22,1/3/2022,Transfer,Out State,Dog,Intact Male,4 months,Jack Russell Terrier Mix,Tan
A855984,*Natasha,5/9/2022 9:21,May-22,4/26/2021,Transfer,Out State,Dog,Spayed Female,1 year,Siberian Husky,Black/White
A856323,*Taquito,5/9/2022 9:22,May-22,5/3/2019,Transfer,Out State,Dog,Intact Male,3 years,Chihuahua Shorthair,Black/Brown
A856165,Oliver,5/9/2022 9:22,May-22,4/29/2020,Transfer,Out State,Dog,Neutered Male,2 years,Dachshund Mix,Tricolor
A856363,*Lennon,5/9/2022 9:25,May-22,5/2/2020,Transfer,Out State,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,White/Tan
A856202,*Lindy,5/9/2022 9:28,May-22,10/30/2021,Transfer,Out State,Dog,Spayed Female,6 months,Pit Bull Mix,Brown Brindle/White
A854279,*Sterling,5/9/2022 9:28,May-22,2/1/2022,Transfer,Out State,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black
A856560,Tito,5/9/2022 9:29,May-22,5/4/2015,Transfer,Out State,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tan/White
A856559,Canelo,5/9/2022 9:29,May-22,5/4/2015,Transfer,Out State,Dog,Intact Male,7 years,Chihuahua Shorthair Mix,Tan/White
A853502,*Nuthatch,5/9/2022 10:33,May-22,3/19/2021,Transfer,Out State,Dog,Neutered Male,1 year,Border Collie Mix,Black/Tan
A856325,Mojo,5/9/2022 11:50,May-22,5/2/2020,Return to Owner,,Dog,Intact Male,2 years,Pit Bull,Red/White
A856561,A856561,5/9/2022 11:54,May-22,5/4/2021,Transfer,Partner,Dog,Intact Female,1 year,Miniature Schnauzer Mix,Silver
A856171,*Frankie,5/9/2022 11:54,May-22,4/29/2021,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tricolor
A856645,,5/9/2022 11:54,May-22,5/5/2020,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Longhair,Buff
A856651,,5/9/2022 11:55,May-22,9/5/2020,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Longhair Mix,Tan
A856652,,5/9/2022 11:55,May-22,11/5/2021,Transfer,Partner,Dog,Intact Female,6 months,Bruss Griffon,Tricolor
A856172,*Eva,5/9/2022 11:55,May-22,4/29/2020,Transfer,Partner,Dog,Intact Female,2 years,Beagle Mix,Black/White
A856695,,5/9/2022 11:55,May-22,5/6/2020,Transfer,Partner,Dog,Intact Female,2 years,Pembroke Welsh Corgi/Australian Shepherd,Tan
A856008,Sammy,5/9/2022 15:37,May-22,11/12/2021,Adoption,,Dog,Neutered Male,5 months,Siberian Husky Mix,Yellow
A856551,Cleopatra,5/9/2022 16:11,May-22,2/17/2022,Adoption,,Dog,Spayed Female,2 months,Great Pyrenees Mix,Brown/White
A856549,Tom Collins,5/9/2022 16:19,May-22,2/17/2022,Adoption,,Dog,Neutered Male,2 months,Great Pyrenees Mix,White/Tan
A856389,Milo,5/9/2022 16:19,May-22,3/2/2022,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A856590,Maya,5/9/2022 16:29,May-22,2/27/2022,Adoption,,Dog,Spayed Female,2 months,Siberian Husky,Tan/White
A856704,King,5/9/2022 16:38,May-22,11/6/2020,Adoption,,Dog,Neutered Male,1 year,Jack Russell Terrier,White
A856111,Manny,5/9/2022 17:33,May-22,3/15/2022,Adoption,,Dog,Neutered Male,1 month,Labrador Retriever Mix,Brown
A854665,Shy,5/9/2022 17:39,May-22,4/7/2020,Return to Owner,,Dog,Spayed Female,2 years,German Shepherd,White
A856524,Arthur,5/9/2022 18:17,May-22,5/4/2021,Adoption,,Dog,Neutered Male,1 year,Beagle Mix,Brown/White
A856479,Mama,5/9/2022 18:59,May-22,5/3/2020,Rto-Adopt,,Dog,Spayed Female,2 years,German Shepherd/Great Pyrenees,Tan/White
A856434,Dino,5/9/2022 19:11,May-22,2/23/2022,Adoption,,Dog,Neutered Male,2 months,German Shepherd Mix,Brown/Black
A856550,A856550,5/10/2022 11:15,May-22,2/17/2022,Adoption,,Dog,Spayed Female,2 months,Great Pyrenees Mix,White/Black
A856303,*Andromeda,5/10/2022 11:33,May-22,5/2/2021,Adoption,,Dog,Spayed Female,1 year,Plott Hound,Brown Brindle
A856769,Weiler,5/10/2022 11:56,May-22,5/7/2018,Return to Owner,,Dog,Neutered Male,4 years,Rottweiler,Black/Tan
A835788,Smokey,5/10/2022 13:54,May-22,6/9/2018,Return to Owner,,Dog,Neutered Male,3 years,Blue Lacy Mix,Blue/White
A849811,Cisco,5/10/2022 13:54,May-22,4/18/2021,Return to Owner,,Dog,Neutered Male,1 year,Pbgv Mix,White/Tricolor
A856729,A856729,5/10/2022 14:00,May-22,3/7/2022,Transfer,Partner,Dog,Intact Female,2 months,Siberian Husky,White
A856728,A856728,5/10/2022 14:00,May-22,3/7/2022,Transfer,Partner,Dog,Intact Female,2 months,Siberian Husky/German Shepherd,White
A856726,A856726,5/10/2022 14:00,May-22,3/7/2022,Transfer,Partner,Dog,Intact Female,2 months,German Shepherd/Alaskan Husky,Sable
A856727,A856727,5/10/2022 14:01,May-22,3/7/2022,Transfer,Partner,Dog,Intact Female,2 months,Siberian Husky/German Shepherd,Buff
A851384,Chi,5/10/2022 14:49,May-22,8/11/2020,Adoption,,Dog,Spayed Female,1 year,Pit Bull,Fawn/White
A856066,*April,5/10/2022 14:56,May-22,12/27/2021,Adoption,Foster,Dog,Spayed Female,4 months,Australian Kelpie Mix,White
A856474,Cinder,5/10/2022 15:43,May-22,5/3/2021,Adoption,,Dog,Spayed Female,1 year,English Bulldog Mix,Brown/White
A856719,,5/10/2022 16:18,May-22,12/6/2021,Adoption,,Dog,Neutered Male,5 months,Labrador Retriever,Tan
A844066,Oso,5/10/2022 16:29,May-22,4/11/2020,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,White
A856650,*Marie,5/10/2022 16:48,May-22,2/19/2022,Adoption,,Dog,Spayed Female,2 months,German Shepherd/Australian Cattle Dog,Tricolor
A856633,Walter,5/10/2022 17:44,May-22,5/5/2020,Rto-Adopt,,Dog,Neutered Male,2 years,Basset Hound/Beagle,Tricolor
A856849,Bella,5/10/2022 17:47,May-22,5/9/2021,Return to Owner,,Dog,Intact Female,1 year,Australian Shepherd,Brown Merle/White
A856850,Luna,5/10/2022 17:50,May-22,5/9/2021,Return to Owner,,Dog,Intact Female,1 year,Catahoula,Blue Merle/White
A856166,Kora,5/10/2022 18:26,May-22,3/1/2022,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Brown/Red
A853493,Holly,5/10/2022 19:14,May-22,9/19/2020,Adoption,,Dog,Spayed Female,1 year,Pit Bull,White/Red
A856752,,5/11/2022 10:30,May-22,2/7/2022,Euthanasia,Suffering,Dog,Intact Female,3 months,Siberian Husky,Sable
A854520,*Cadence,5/11/2022 12:50,May-22,10/5/2020,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever,Tan
A856641,*Fairy,5/11/2022 14:26,May-22,12/5/2021,Transfer,Partner,Dog,Intact Female,5 months,Chihuahua Shorthair,Tan/White
A856723,Face,5/11/2022 15:18,May-22,5/6/2020,Rto-Adopt,,Dog,Intact Male,2 years,Pit Bull,White/Brown
A856734,Diamond,5/11/2022 16:23,May-22,5/11/2016,Rto-Adopt,,Dog,Spayed Female,6 years,Pit Bull,Black/White
A852557,Pickles,5/11/2022 16:29,May-22,3/5/2022,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black/White
A856924,Meeshka,5/11/2022 16:36,May-22,10/10/2020,Return to Owner,,Dog,Spayed Female,1 year,German Shepherd/Border Collie,Tricolor/Black
A856214,Kilo,5/11/2022 17:01,May-22,12/2/2021,Adoption,,Dog,Neutered Male,5 months,German Shepherd/Alaskan Husky,Black/Tan
A855691,*Azaria (Paco),5/11/2022 17:36,May-22,4/22/2020,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A852561,,5/11/2022 17:40,May-22,3/5/2022,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black/White
A852558,,5/11/2022 18:20,May-22,3/5/2022,Adoption,,Dog,Neutered Male,2 months,Chihuahua Longhair Mix,Tricolor
A852562,,5/11/2022 19:18,May-22,3/5/2022,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Sable/White
A856432,Kyrie,5/11/2022 19:38,May-22,12/3/2020,Transfer,Partner,Dog,Intact Female,1 year,Siberian Husky,Black/White
A856009,Diamond,5/12/2022 13:49,May-22,3/9/2022,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,White/Brown Brindle
A821472,Sgt Amor Aka Sarge,5/12/2022 13:55,May-22,8/12/2017,Return to Owner,,Dog,Neutered Male,4 years,Akita,White
A857101,Pearl,5/12/2022 14:13,May-22,5/12/2020,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair,Brown/White
A856786,*Tina,5/12/2022 14:25,May-22,3/7/2022,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Tan
A857100,,5/12/2022 14:42,May-22,5/12/2010,Transfer,Partner,Dog,Spayed Female,12 years,Chihuahua Shorthair,Black
A660294,Minnie,5/12/2022 14:44,May-22,8/6/2010,Transfer,Partner,Dog,Spayed Female,11 years,Chihuahua Shorthair Mix,Tan
A585901,Thomas,5/12/2022 14:45,May-22,4/7/2009,Transfer,Partner,Dog,Neutered Male,13 years,Jack Russell Terrier/Chihuahua Shorthair,White/Brown
A857102,,5/12/2022 14:46,May-22,5/12/2015,Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair,Black
A857099,Charlie,5/12/2022 14:47,May-22,5/12/2020,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan
A857098,Betsie,5/12/2022 14:49,May-22,5/12/2019,Transfer,Partner,Dog,Spayed Female,3 years,Yorkshire Terrier Mix,Tan
A856895,*Prairie Chicken,5/12/2022 15:49,May-22,3/9/2022,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Black/White
A856897,Junior,5/12/2022 16:01,May-22,3/9/2022,Adoption,,Dog,Neutered Male,2 months,Australian Cattle Dog Mix,Tricolor
A856542,Hazel,5/12/2022 16:01,May-22,10/4/2021,Transfer,Partner,Dog,Intact Female,7 months,Boxer Mix,Fawn/White
A857091,Akira,5/12/2022 16:04,May-22,1/12/2022,Transfer,Partner,Dog,Intact Female,3 months,Miniature Schnauzer Mix,Black
A857167,A857167,5/12/2022 17:22,May-22,12/12/2021,Transfer,Partner,Dog,Intact Female,4 months,Siberian Husky Mix,Black/Gray
A822763,Bella,5/12/2022 17:59,May-22,9/9/2017,Return to Owner,,Dog,Intact Female,4 years,German Shepherd,White
A857078,A857078,5/12/2022 17:59,May-22,5/4/2022,Return to Owner,,Dog,Intact Male,1 weeks,German Shepherd,Black/Tan
A857080,A857080,5/12/2022 18:00,May-22,5/4/2022,Return to Owner,,Dog,Intact Female,1 weeks,German Shepherd,Black
A857079,A857079,5/12/2022 18:00,May-22,5/4/2022,Return to Owner,,Dog,Intact Male,1 weeks,German Shepherd,Black
A857081,A857081,5/12/2022 18:01,May-22,5/4/2022,Return to Owner,,Dog,Intact Male,1 weeks,German Shepherd,Black
A857082,A857082,5/12/2022 18:02,May-22,5/4/2022,Return to Owner,,Dog,Intact Male,1 weeks,German Shepherd,Black
A857083,A857083,5/12/2022 18:02,May-22,5/4/2022,Return to Owner,,Dog,Intact Female,1 weeks,German Shepherd,Black
A857085,A857085,5/12/2022 18:03,May-22,5/4/2022,Return to Owner,,Dog,Intact Male,1 weeks,German Shepherd,Black
A857084,A857084,5/12/2022 18:03,May-22,5/4/2022,Return to Owner,,Dog,Intact Female,1 weeks,German Shepherd,Black
A857086,A857086,5/12/2022 18:04,May-22,5/4/2022,Return to Owner,,Dog,Intact Male,1 weeks,German Shepherd,Black
A857087,A857087,5/12/2022 18:05,May-22,5/4/2022,Return to Owner,,Dog,Intact Female,1 weeks,German Shepherd,Black
A857088,A857088,5/12/2022 18:06,May-22,5/4/2022,Return to Owner,,Dog,Intact Male,1 weeks,German Shepherd,Black
A851873,*Penelope,5/12/2022 18:34,May-22,2/20/2020,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Black
A857116,*Frankie,5/12/2022 19:00,May-22,12/12/2020,Died,In Kennel,Dog,Intact Male,1 year,Cardigan Welsh Corgi Mix,Black/Tan
A856604,*Elladora,5/13/2022 12:58,May-22,5/8/2019,Adoption,,Dog,Spayed Female,3 years,Australian Shepherd Mix,White/Tan
A856458,Bruno,5/13/2022 13:26,May-22,2/16/2022,Adoption,,Dog,Neutered Male,2 months,German Shepherd Mix,Brown/Black
A855720,Xena,5/13/2022 13:30,May-22,4/22/2019,Adoption,,Dog,Spayed Female,3 years,Pit Bull,Brown Brindle/White
A857016,A857016,5/13/2022 13:30,May-22,5/11/2019,Transfer,Partner,Dog,Intact Female,3 years,Pug/Beagle,Black
A857071,Dog,5/13/2022 13:48,May-22,5/11/2020,Return to Owner,,Dog,Intact Male,2 years,Miniature Schnauzer/Miniature Poodle,White/Black
A857032,Luna,5/13/2022 14:00,May-22,5/11/2020,Return to Owner,,Dog,Intact Female,2 years,Labrador Retriever,White
A855931,Apollo,5/13/2022 14:05,May-22,4/24/2019,Euthanasia,Court/Investigation,Dog,Neutered Male,3 years,German Shepherd/Labrador Retriever,Brown/Black
A838525,Carver,5/13/2022 14:14,May-22,3/20/2020,Return to Owner,,Dog,Neutered Male,2 years,Australian Cattle Dog,Brown/White
A855325,*Tim Curry,5/13/2022 14:33,May-22,4/15/2020,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A853682,Baxtor,5/13/2022 16:32,May-22,2/28/2022,Adoption,,Dog,Neutered Male,2 months,Australian Cattle Dog Mix,White/Black
A847926,Spice,5/13/2022 16:34,May-22,12/10/2019,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Tan
A856643,Casper,5/13/2022 16:54,May-22,12/5/2021,Adoption,,Dog,Neutered Male,5 months,Labrador Retriever Mix,White
A856899,*Pigeon,5/13/2022 18:18,May-22,3/9/2022,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Black/White
A857239,Scoby,5/13/2022 18:44,May-22,5/13/2011,Return to Owner,,Dog,Intact Male,11 years,Chihuahua Shorthair,Yellow
A856819,April,5/14/2022 9:26,May-22,5/8/2009,Transfer,Partner,Dog,Spayed Female,13 years,Cocker Spaniel Mix,Tan/White
A854962,*Lizzy,5/14/2022 10:28,May-22,4/12/2018,Adoption,Foster,Dog,Spayed Female,4 years,Labrador Retriever Mix,Yellow
A855982,*Madeleine,5/14/2022 12:08,May-22,1/26/2022,Adoption,,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/Tricolor
A841299,Sookie,5/14/2022 14:50,May-22,2/25/2019,Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Red/White
A856385,Cadence,5/14/2022 14:58,May-22,3/2/2022,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Tan
A856797,Lola,5/14/2022 15:37,May-22,3/14/2022,Adoption,,Dog,Spayed Female,1 month,American Staffordshire Terrier,Black/White
A855998,Peanut,5/14/2022 16:11,May-22,12/27/2021,Adoption,,Dog,Neutered Male,4 months,German Shepherd Mix,Brown/Black
A855891,*Cheese,5/14/2022 17:29,May-22,11/10/2021,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever/Pointer,Black/White
A857290,Romeo,5/14/2022 17:32,May-22,5/14/2010,Return to Owner,,Dog,Neutered Male,12 years,Miniature Schnauzer,Gray
A856307,*Parvati,5/14/2022 18:46,May-22,10/2/2021,Adoption,,Dog,Spayed Female,7 months,Australian Cattle Dog Mix,White/Brown
A856429,Bailey,5/14/2022 18:47,May-22,5/3/2021,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/Brown
A856136,Snow,5/14/2022 19:04,May-22,6/29/2021,Adoption,,Dog,Spayed Female,10 months,Siberian Husky Mix,Black/White
